07 Ghost,"07 ghost, 07-ghost, shounen ai, anime, bishounen, fantasy, josei, magic, military, crunchyroll 07 ghost",25,2009,Yomiuri Telecasting Corporation (YTV),"Teased unmercifully for his past as an orphan and a slave, Teito has only his best friend Mikage and his mastery of the magical art of Zaiphon to ease his days at the elite Barsburg Academy."
11eyes,"11eyes, 11 eyes, tsumi to batsu to aganai no shoujo, harem, moe, action, anime, ecchi, visual novel, crunchyroll 11eyes",12,2009,Marvelous AQL Inc.,"Satsuki Kakeru lived an ordinary life, until one day - with childhood friend Minase Yuka - they are transported to a different world."
5 Centimeters per Second,"drama, romance, beautiful, makoto shinkai, slice of life, english dub available",3,2007,CoMixWave Films,"Beginning with the lyrical image of cherry blossoms falling at five centimeters a second, Makoto Shinkai paints a breathtaking vivid tableau of young love, desire, loss, and hope.  Told in three heartbreaking chapters, we follow the young dreamer Takaki through his life as cruel winters, cold technology, silence, and, finally, adult obligations and responsibility converge to crush the delicate petals of true love."
91 Days,,,,Shochiku,"During Prohibition, the law held no power and the mafia ruled the town. The story takes place in Lawless, a town thriving on black market sales of illicitly brewed liquor. One day, Avilio receives a letter from a mysterious sender, prompting him to return to Lawless for revenge. He then infiltrates the Vanetti family, the ones responsible for his family's murder, and sets about befriending the don's son, Nero, to set his vengeance in motion. Killing brings more killing, and revenge spawns more revenge.  How will the 91-day story of these men guided by a tragic fate end?"
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi,"a bridge to the starry skies, hoshizora e kakaru hashi, anime, hoshikaka, visual novel, comedy, ecchi, harem, crunchyroll hoshikaka, seinen",12,2011,Marvelous AQL Inc.,"Kazuma Hoshino moves to the beautiful countryside to take care of his little brother, Ayumu Hoshino. They ended up  they getting lost on their way to the Japanese Inn."
A Certain Magical Index,,,,Funimation,"Kamijo is a student in Academy City, where people use science to develop supernatural abilities. The guy’s got a lot of heart – luckily for a young nun named Index. She’s on the run from a sorcery society that covets the astonishing 103,000 volumes of magical knowledge stored in her memory. When Index stumbles into Kamijo’s life, she find a faithful friend and protector, and while Kamijo’s easily the weakest kid in Academy City, he’s got something else going for him: the Imagine Breaker, an unexplainable power stored in his right hand that negates the powers of others."
A Certain Scientific Railgun,,,,Funimation,"Misaka’s electro-manipulation abilities—and delightfully destructive Railgun projectile move—make her a rock star in Academy City. The techno-metropolis is packed with supernaturally powered students known as espers, including Misaka’s flirty friend and roommate, Kuroko. In this city full of super-powered gangs, mad scientists, and monsters—there’s no shortage of action!"
A Dark Rabbit has Seven Lives,"demons, school life, vampires, anime, dark rabbit has seven lives, itsuka tenma no kuro usagi, itsuten, kurenai gekkō no seitokaishitsu, light novel, crunchyroll dark rabbit",12,2011,Kadokawa Pictures Inc.,"Freshman Kurogane Taito was always an ordinary, regular guy, except for a promise made to the beautiful vampire, Saitohimea nine years ago."
A Lull in the Sea,"drama, fantasy, romance, english dub available",,,NIS America,"Long ago, humans lived in the sea. However, some humans defied the Sea God and moved to the land, creating the division that now exists between Shioshishio, the Sea Village, and Oshiooshi, the village of the land. Now, four middle school students from the Sea Village, Manaka Mukaido, Hikari Sakishima, Chisaki Hiradaira, and Kaname Isaki must attend Mihama Middle School on the land. While getting used to their new lives, these four and their new friend from the land, Tsumugu Kihara, learn how true bonds of love and friendship can overcome any separation."
A Town Where You Live,,,,Nozomi Entertainment,"How far would you go for true love? 
 
All his friends said he was just being ""stupid"" and ""delusional,"" but Haruto just couldn't give up on her... Yuzuki, the girl that showed up on his doorstep one day, stole his heart the next, and then left just as abruptly as she arrived. With the faint hope of rekindling the romance they'd shared, Haruto decides to pursue her, moving away from the rural outskirts of Hiroshima to the big city of Tokyo."
Aachi & Ssipak,,,,cinedigm,Aachi & Ssipak is a whacked story about two hoodlums who steal and sell addictive popsicles on the black market in a post-apocalyptic dystopia.  They must fend for their lives in this eye-popping film that redefines animated action.
ACCA: 13-Territory Inspection Dept.,,,,Bandai Visual,"""ACCA"" is a giant unified syndicate residing in a kingdom split into 13 autonomous regions. ACCA was formed back when there was threat of a coup d'etat, and it has continued to protect the peace of civilians for almost one hundred years. 
Jean Otus, the vice-chairman of the inspections department at ACCA headquarters, is one of the most cunning men in the syndicate's history with the nickname ""Jean the Cigarette Peddler."" 
Whimsically puffing his cigarettes, he wanders through the 13 districts, checking to see if there is any foul play afoot."
Ace Attorney,video game,,,Yomiuri Telecasting Corporation (YTV),"Adapted from the popular video game franchise, Ace Attorney follows rookie lawyer Naruhodo Ryuuichi (Phoenix Wright) and his assistant Mayoi (Maya) as he defends his clients in a court of law. With limited evidence and logic as his only weapon, can Naruhodo turn the case around when all the odds are stacked against him?"
Ace of the Diamond,"ace of the diamond, sports, shounen",,,TV TOKYO,"I want to pitch to that mitt again... 
A meeting with catcher Kazuya Miyuki changed the 15-year-old Eijun Sawamura's life. 
He said goodbye to all his friends and knocked upon the door of Seidou, a prestigious baseball school, intent on testing his own strength. There, he met many proud baseball players who were betting everything on the sport! 
A classic tale, yet new and fresh. All the emotion and excitement of the popular baseball manga is at last coming to television in the form of an anime!"
Active Raid,action,,,Sotsu,"Set in a futuristic Tokyo, Active Raid tells the story of “The Eighth,” a rash and careless unit of power-armored police called the “5th Special Public Security Section’s Mobile Assault Division.” After the Third Quicksand Disaster sinks Tokyo into a quagmire, the city's reconstruction efforts are carried out using high-output, reinforced exoskeletons called Willwears. But they can also be misused, and to combat the crimes involving them, the National Police Agency establishes at its Kichioji Branch the Special Public Security Fifth Division Third Mobile Assault Eighth Unit, AKA Unit 8."
"Actually, I Am",,,,"TMS Entertainment, Ltd.","Asahi Kuromine is a high school student who supposedly cannot keep a secret. One day he spots his crush Yoko Shiragami, unfurling a large pair of wings from her back. She explains to him that she is a vampire and is only able to attend a normal school on the condition that no one discover her true identity. Asahi swears to keep her secret but finds it hard to maintain seeing as how Yoko herself is an airhead and Asahi's friend Mikan keeps bullying the two of them."
Ah My Buddha!!,english dub available,,,Nozomi Entertainment,"Sixteen-year-old Ikkou Satonaka has raging hormones that make every other boy's look simply weak in comparison. When he gets turned on, he's literally turned into a super-powerful Buddhist monk capable of vanquishing the most evil of spirits! Ikkou's parents send him to the Saienji Temple to train to become a proper monk under the watchful eye of his grandmother. One of his first challenges is to learn to control his lusty desires - but that's easier said than done when he's surrounded by a bevy of beautiful nun trainees who keep losing their clothes!"
Ai-Mai-Mi,"comedy, shoujo, slice of life",,,Takeshobo,"Three girls in the manga club, Ai, Mai, and Mii, battle with evil Earth invaders, face off against rivals in tournaments, and might not actually draw any manga."
Ai-Mai-Mi Mousou Catastrophe,,,,Seven,"The loveable manga club girls are back! Ai, Mai, Mii, and Ponoka-senpai who might be fighting evil invaders threatening Earth, facing off against rivals in tournaments, and dealing with other absurd situations when they are not drawing manga!"
Ai-Mai-Mi Surgical Friends,,,,Seven,"Ai, Mai, and Mi belong to the manga research club and have fought off alien invaders as well as rivals in tournaments. But as usual, Ai's the only one actually drawing any manga..."
Air Master,"air master, anime, aikawa maki, adventure, comedy, gymnastics, ecchi, martial arts, yokusaru shibata, crunchyroll air master",27,2003,Toei Animation,"A former gymnast, Aikawa Maki has turned her skills to a different way of life - street fighting. The only thing that truly makes her feel alive is violence."
AIURA,anime,,,TV TOKYO,"They don't always see eye-to-eye, but that just makes these high school girls' daily lives more fun. ""Their lives happen when nothing is happening"" in this anime based on the lackadaisical four-panel manga. 
 
*This story features high school girls, but there's not much romance, and comedy has its place. Don't expect too much extravagance."
Akagi,,,,ntv,"Tokyo, 1958. A man seriously gambles at a mahjong parlor. He's playing against members of the Ryuzaki yakuza clan. If he loses, he must pay his debt through his own life insurance – truly a game of life and death. With his own existence at stake, he can only play passively, and the game comes to a head. Suddenly, a mysterious boy appears. His name is Akagi, a thirteen-year-old kid. The man senses a strong aura around the youth and decides to have Akagi substitute for him in the next round."
Akame ga Kill!,"action, fighting",,,Toho,"Under the rule of a tyrannical empire, Tatsumi, a young swordsman, leaves his home to save his poverty stricken village. He meets a girl named Akame, an assassin who was bought, brainwashed and trained to kill by the Empire. Akame is a member of the secret assassin group called “Night Raid” who use special weapons called Teigu. Together, Tatsumi and the members of Night Raid confront the corrupt empire."
AKB0048,"shoujo, fantasy, action, adventure",,,King Record Company Limited,"At the start of the 21st century, an interplanetary war broke out. Earth's ecosystem was severely damaged, and humanity was forced to flee the planet. On several planets of this new society, things that ‘disturb the heart’ like music and art are forbidden. That is, until AKB0048 is resurrected..."
Akiba's Trip The Animation,,,,GONZO,"After being attacked by an unknown evil, Tamotsu Denkigai is stuck in Akihabara fighting to keep the streets safe."
Alderamin on the Sky,,,,Warner Japan,"The huge Katvana Empire is at war with the neighboring Kioka republic.  In a corner of the empire, a young man is about be caught up in the flames of war.  His name is Ikta Solork. He's lazy, a philanderer, and he hates war.  He's about as far from a soldier as you can get. 
 
On his way towards the next stage of officer's qualification exams, he and his childhood friend Yatorishino Igsem encounter the nurse trainee Harouma Beckle, Mashuu Tetrijirch, a member of the old military faction, and Torwey Lemion...."
ALDNOAH.ZERO,"mecha, action, drama",,,Aniplex,Humanity has clearly split into two and currently there is no way these groups will once again unite. Humanity celebrates this transient time of peace as they slowly dismiss from their minds the scars their ancestors bore in the past. No one realized that with one little push their world can fall to its destruction.
ALL OUT!!,,,,"TMS Entertainment, Ltd.","The day of the entrance ceremony at Kanagawa Highschool... The story starts when the slight but unyielding Gion joins the rugby team. His classmate, Iwashimizu, who can’t get into rugby because of something happening in the past, the vice-captain, Hachioji, who looks out for all of the members, and their captain, Sekizan, who is more passionate and intense than anyone... All of the members are completely different, but they all keep growing on this battlefield known as youth. Once they give it their all, the ultimate stage awaits them!"
Amagi Brilliant Park,comedy,,,Sentai,"A mysterious but pretty transfer student, Sento Isuzu, asks Kanie Seiya out on a date to an amusement park. That park was Amagi Brilliant Park, featuring worn-down attractions and lackluster service -- the worst in Japan."
Amanchu!,,,,Production I.G,"It is spring, the season of great changes. Hikari Kohinata is an overwhelmingly cheerful and outgoing 15-year-old girl who has spent all her life in a small and beautiful seaside town on the Izu peninsula. On the first day of high school, she meets Futaba Oki, a slightly introverted girl who has just moved from Tokyo. Before she knows it, Futaba gets dragged along into Hikari's passion for scuba diving. And from there, Futaba gradually starts to come out of her shell, and learns how to take challenges and dive into the ocean of life."
AMNESIA,"anime, amnesia, otome, visual novel",,,Showgate,"When the heroine regains consciousness in an unfamiliar place, she has suddenly lost all memories of everything that happened before August 1. What is this place, and what was she doing there? Who is she, and what sort of life had she lived?"
Ange Vierge,,,,Kadokawa Pictures Inc.,"One day, out of the blue, the five worlds were linked together. Our blue world, Earth. The black world, ruled by night and magic, Darknes Embrace. The red world, protected by prayer and by the gods: Tera Rubily Aurora. The white world, managed by science and computers: System White Egma.  The green world, governed by weapons and armies: Glynnesert. Meanwhile, in each of the worlds, there was an emergence of girls possessing special ""Exceed"" abilities. The girls would come to be known as the Progress. There, the girls would meet. The world is on the verge of doom. Only the Progress can save it."
Angel Beats,,13,2010,Aniplex,Otonashi is a young boy living in the afterlife with no memories of his life before his death. He joins a school organization called the SSS whose mission is to fight against God.
Anime Academy,,,,crunchyroll,"Welcome to Anime Academy, where we give you quickie lessons on our favorite anime terms. Each episode, we'll introduce a new lesson to help you go deeper and farther down the anime rabbit hole! Join us every Tuesday for the best class ever with hosts Reina Scully and Victoria Holden."
Anime De Training! Ex,,,,Earth Star Entertainment,"Five girls who are aiming to become idols, lead the viewer through practicing various types of training, such as push-up, sit-up, back extension, dance, yoga, stretch, trunk training, and Tai Chi, while talking to viewers."
ANISAVA,english dub available,,,"TMS Entertainment, Ltd.","Welcome to the concrete jungle, where it’s a struggle to survive among the animals of the city. Watch Jake the bear, Jenny the cat and their cast of slightly crazy friends as they live, love and try to stay sane in a wild world."
Anne-Happy,"slice of life, comedy",,,Furyu,"A group of pitiable girls live their days with energy and cheer in this encouraging school comedy.  All the students of Tennogofune Academy's Class 1-7 seem to be plagued by ""bad karma,"" or misfortune. Hanakoizumi An the unlucky, Hibarigaoka Ruri of the tragic love stories, Kumegawa Botan with her perpetually poor health, Hagyuu Hibiki with her bad sense of direction, and Ekoda Ren with constant women troubles have just joined the class, and they're all doing their best to live their high school lives as happily as they can..."
Ano Natsu de Matteru,"anime, ano natsu de matteru, waiting in the summer, romance, nagi yanagi, gazelle, crunchyroll ano natsu, slice of life, drama, comedy",12,2012,Showgate,"To combat the approaching boredom, friends decide to make a film together documenting their memories together."
Anohana: The Flower We Saw That Day,"shoujo, slice of life, drama, staff picks",11,2011,Aniplex,"Jinta Yadomi and his group of childhood friends have become estranged after a tragic accident split them apart. Now in their high school years, a sudden surprise forces each of them to confront their guilt over what happened that day and come to terms with the ghosts of their past."
Another,"anime, another, horror, mystery, ali project, yukito ayatsuji, miliyah kato, atsushi abe, kadokawa shoten, crunchyroll another",12,2012,Kadokawa Pictures Inc.,"The school held a secret that nobody must speak of...Spring, 1998."
