"The $100,000 Pyramid",Reality and Game Shows,1,5,"The Pyramid is back! ""The $100,000 Pyramid"" features 100 grand up for grabs each week when some of today's hottest stars team-up with players from across the country to take on the timeless war of words, racing against the clock to give and guess clues in one of TV's all-time great word-association games."
11.22.63,Drama,1,8,"Imagine having the power to change history. Would you journey down the “rabbit hole?"" This eight –part event series follows Jake Epping (James Franco), an ordinary high school teacher, presented with the unthinkable mission of traveling back in time to prevent the assassination of John F. Kennedy on November 22, 1963. Jake travels to the past in order to solve the most enduring mystery of the 20th century: who killed JFK, and could it have been stopped? But as Jake will learn, the past does not want to be changed. And trying to divert the course of history may prove fatal."
12 Monkeys,Science Fiction~Science Fiction - Time Travel,1,13,"The show follows the journey of a time traveler, Cole, from the post-apocalyptic future.  Using a dangerous and untested method of time travel, Cole arrives in the present day on a mission to locate and eradicate the source of a deadly plague that will eventually decimate 93.6% of the human race."
ABC 20/20,News and Information,2,67,"20/20 brings you hard-hitting investigative reports, newsmaker interviews and compelling human interest and feature stories."
2111,Documentaries,1,6,"2111 es una serie histórica que permitirá descubrir cómo será Latinoamérica dentro de 100 años. A lo largo de seis programas, encontrarás las respuestas a los grandes interrogantes acerca del futuro: ¿Cómo serán nuestras ciudades dentro de 100 años?"
21 Jump Street,Action and Adventure~80s Action,5,103,"It all begins here, as baby-faced rookie Officer Tom Hanson (Johnny Depp) is assigned to an elite squad of young undercover cops - Judy Hoffs (Holly Robinson Peete), Doug Penhall (Peter DeLuise) and Harry Truman Ioki (Dustin Nguyen) - to infiltrate high schools and fight crime. Frederic Forrest and Steven Williams co-star in this classic first season that also features such guest stars as Jason Priestley, Josh Brolin, David Paymer, Sherilyn Fenn and Blair Underwood in what became Fox’s first runaway hit and remains one of the coolest cop shows in TV history!"
24 Legacy,Action and Adventure~Espionage,1,5,"The clock ticks again with 24 LEGACY, the next evolution of the Emmy Award-winning “24.” 24 LEGACY chronicles an adrenaline-fueled race against the clock to stop a devastating terrorist attack on United States soil – in the same real-time format that has propelled this genre-defining series."
30 for 30,Documentaries,1,1,"Inspired by ESPN’s anniversary, ESPN Films’ 30 for 30 is an unprecedented documentary series featuring films from some of today’s finest storytellers. Own select films from this acclaimed series today."
30 for 30 Shorts,Documentaries,1,32,"A collaboration between ESPN Films and Grantland.com, 30 for 30 Shorts is an Emmy-winning series of short films that showcase new and unique stories captured through the distinct take and visual style of a variety of storytellers."
5th Dimension,Documentaries,1,6,"Paranormal activity has always drawn the curiosity of even the most skeptical minds.  That mysticism depends on faith that such events are beyond the realm of science.  From ghosts to telekinesis, 5th Dimension examines these bizarre occurrences through the lens of science.  Many of these happenstances can be discredited, but perhaps there are still phenomena that cannot be explained. "
